#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"BcastDVRUserService_9f968","System.ServiceProcess.ServiceController[]","False","False","False","BcastDVRUserService_9f968","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","240","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","BitLocker Drive Encryption Service","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BEService","System.ServiceProcess.ServiceController[]","False","False","False","BattlEye Service","System.ServiceProcess.ServiceController[]",".","BEService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","False","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BluetoothUserService_9f968","System.ServiceProcess.ServiceController[]","False","False","False","BluetoothUserService_9f968","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","240","Manual",,
"Bonjour Service","System.ServiceProcess.ServiceController[]","False","True","True","Bonjour Service","System.ServiceProcess.ServiceController[]",".","Bonjour Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","True","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","True","True","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"CaptureService_9f968","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_9f968","System.ServiceProcess.ServiceController[]",".","CaptureService_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"cbdhsvc_9f968","System.ServiceProcess.ServiceController[]","False","False","True","cbdhsvc_9f968","System.ServiceProcess.ServiceController[]",".","cbdhsvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CDPUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","True","CDPUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","True","True","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","True","True","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","False","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUxUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CredentialEnrollmentManagerUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","CredentialEnrollmentManagerUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","CredentialEnrollmentManagerUserSvc_9f968","System.ServiceProcess.ServiceController[]",,"Stopped","208","Manual",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationBrokerSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","DeviceAssociationBrokerSvc_9f968","System.ServiceProcess.ServiceController[]",".","DeviceAssociationBrokerSvc_9f968","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","True","True","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","DevicePickerUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevicesFlowUserSvc_9f968","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlowUserSvc_9f968","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_9f968","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","True","True","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dhcp","System.ServiceProcess.ServiceController[]","False","True","True","DHCP Client","System.ServiceProcess.ServiceController[]",".","Dhcp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft (R) Diagnostics Hub Standard Collector Service","System.ServiceProcess.ServiceController[]",".","diagnosticshub.standardcollector.service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"diagsvc","System.ServiceProcess.ServiceController[]","False","False","False","Diagnostic Execution Service","System.ServiceProcess.ServiceController[]",".","diagsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DiagTrack","System.ServiceProcess.ServiceController[]","False","True","True","Connected User Experiences and Telemetry","System.ServiceProcess.ServiceController[]",".","DiagTrack","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Disc Soft Lite Bus Service","System.ServiceProcess.ServiceController[]","False","False","False","Disc Soft Lite Bus Service","System.ServiceProcess.ServiceController[]",".","Disc Soft Lite Bus Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","False","False","True","Display Policy Service","System.ServiceProcess.ServiceController[]",".","DispBrokerDesktopSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DisplayEnhancementService","System.ServiceProcess.ServiceController[]","False","False","False","Display Enhancement Service","System.ServiceProcess.ServiceController[]",".","DisplayEnhancementService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Enrollment Service","System.ServiceProcess.ServiceController[]",".","DmEnrollmentSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"dmwappushservice","System.ServiceProcess.ServiceController[]","False","False","False","Device Management Wireless Application Protocol (WAP) Push message Routing Service","System.ServiceProcess.ServiceController[]",".","dmwappushservice","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"Dnscache","System.ServiceProcess.ServiceController[]","False","False","False","DNS Client","System.ServiceProcess.ServiceController[]",".","Dnscache","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DoSvc","System.ServiceProcess.ServiceController[]","False","False","True","Delivery Optimization","System.ServiceProcess.ServiceController[]",".","DoSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"dot3svc","System.ServiceProcess.ServiceController[]","False","False","False","Wired AutoConfig","System.ServiceProcess.ServiceController[]",".","dot3svc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DPS","System.ServiceProcess.ServiceController[]","False","True","True","Diagnostic Policy Service","System.ServiceProcess.ServiceController[]",".","DPS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"DsmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Device Setup Manager","System.ServiceProcess.ServiceController[]",".","DsmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"DsSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Sharing Service","System.ServiceProcess.ServiceController[]",".","DsSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"DusmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Data Usage","System.ServiceProcess.ServiceController[]",".","DusmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Eaphost","System.ServiceProcess.ServiceController[]","False","False","False","Extensible Authentication Protocol","System.ServiceProcess.ServiceController[]",".","Eaphost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EasyAntiCheat","System.ServiceProcess.ServiceController[]","False","False","False","EasyAntiCheat","System.ServiceProcess.ServiceController[]",".","EasyAntiCheat","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"edgeupdate","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdate)","System.ServiceProcess.ServiceController[]",".","edgeupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"edgeupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdatem)","System.ServiceProcess.ServiceController[]",".","edgeupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"embeddedmode","System.ServiceProcess.ServiceController[]","False","False","False","Embedded Mode","System.ServiceProcess.ServiceController[]",".","embeddedmode","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EntAppSvc","System.ServiceProcess.ServiceController[]","False","False","False","Enterprise App Management Service","System.ServiceProcess.ServiceController[]",".","EntAppSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Windows Event Log","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","COM+ Event System","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Fax","System.ServiceProcess.ServiceController[]","False","False","False","Fax","System.ServiceProcess.ServiceController[]",".","Fax","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","True","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"FDResPub","System.ServiceProcess.ServiceController[]","False","True","True","Function Discovery Resource Publication","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","File History Service","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"FlexNet Licensing Service","System.ServiceProcess.ServiceController[]","False","False","False","FlexNet Licensing Service","System.ServiceProcess.ServiceController[]",".","FlexNet Licensing Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Windows Font Cache Service","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","False","False","False","Windows Presentation Foundation Font Cache 3.0.0.0","System.ServiceProcess.ServiceController[]",".","FontCache3.0.0.0","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"FrameServer","System.ServiceProcess.ServiceController[]","False","False","False","Windows Camera Frame Server","System.ServiceProcess.ServiceController[]",".","FrameServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"GoogleChromeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Google Chrome Elevation Service","System.ServiceProcess.ServiceController[]",".","GoogleChromeElevationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","False","Group Policy Client","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Automatic",,
"GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","False","False","False","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",".","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"gupdate","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdate)","System.ServiceProcess.ServiceController[]",".","gupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"gupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Google Update Service (gupdatem)","System.ServiceProcess.ServiceController[]",".","gupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"Hamachi2Svc","System.ServiceProcess.ServiceController[]","False","True","True","LogMeIn Hamachi Tunneling Engine","System.ServiceProcess.ServiceController[]",".","Hamachi2Svc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"HgClientService","System.ServiceProcess.ServiceController[]","False","False","False","Host Guardian Client Service","System.ServiceProcess.ServiceController[]",".","HgClientService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Human Interface Device Service","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"hns","System.ServiceProcess.ServiceController[]","False","False","True","Host Network Service","System.ServiceProcess.ServiceController[]",".","hns","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"HvHost","System.ServiceProcess.ServiceController[]","False","True","True","HV Host Service","System.ServiceProcess.ServiceController[]",".","HvHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"icssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Mobile Hotspot Service","System.ServiceProcess.ServiceController[]",".","icssvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"IKEEXT","System.ServiceProcess.ServiceController[]","False","False","False","IKE and AuthIP IPsec Keying Modules","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"InstallService","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Store Install Service","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"Intel(R) PROSet Monitoring Service","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) PROSet Monitoring Service","System.ServiceProcess.ServiceController[]",".","Intel(R) PROSet Monitoring Service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"iphlpsvc","System.ServiceProcess.ServiceController[]","False","False","True","IP Helper","System.ServiceProcess.ServiceController[]",".","iphlpsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","False","False","False","IP Translation Configuration Service","System.ServiceProcess.ServiceController[]",".","IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","CNG Key Isolation","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"KtmRm","System.ServiceProcess.ServiceController[]","False","False","False","KtmRm for Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","KtmRm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Server","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Workstation","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"lfsvc","System.ServiceProcess.ServiceController[]","False","False","True","Geolocation Service","System.ServiceProcess.ServiceController[]",".","lfsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
